提交编号,题目编号,题目名称,状态,分数,总时间,内存,语言,代码长度,提交者,提交时间
876755,2165,「POI2011 R3 Day0」炸药 Dynamite,Accepted,100,4139 ms,27.87 M,C++,1.3 K,moonoshawott,2020-07-26 10:45:13
876699,6395,「THUPC2018」城市地铁规划 / City,Accepted,100,1017 ms,43.10 M,C++,1.9 K,moonoshawott,2020-07-26 09:21:48
876431,3088,「GXOI / GZOI2019」旧词,Accepted,100,551 ms,6.03 M,C++,2.5 K,moonoshawott,2020-07-25 20:07:10
875402,6398,「THUPC2018」生生不息 / Lives,Accepted,100,1 ms,124 K,C++,1.5 K,moonoshawott,2020-07-24 19:40:28
875323,2292,「THUSC 2016」成绩单,Accepted,100,380 ms,15.00 M,C++,1.3 K,moonoshawott,2020-07-24 19:05:11
875282,6387,「THUPC2018」绿绿与串串 / String,Accepted,100,353 ms,13.52 M,C++,1.9 K,moonoshawott,2020-07-24 18:24:33
874246,2289,「THUWC 2017」在美妙的数学王国中畅游,Accepted,100,10798 ms,47.24 M,C++,3.2 K,moonoshawott,2020-07-23 21:27:41
873251,2487,「CEOI2011」Balloons,Accepted,100,577 ms,3.53 M,C++,531 B,moonoshawott,2020-07-23 12:04:55
872318,3093,「BJOI2019」光线,Accepted,100,636 ms,11.62 M,C++,1017 B,moonoshawott,2020-07-22 18:17:07
870308,6250,「CodePlus 2017 11 月赛」找爸爸,Accepted,100,356 ms,103.96 M,C++,1.1 K,moonoshawott,2020-07-21 19:34:56
870251,2384,「HNOI2013」切糕,Accepted,100,257 ms,3.12 M,C++,2.2 K,moonoshawott,2020-07-21 19:09:54
868578,6187,Odd,Accepted,100,8755 ms,22.75 M,C++,2.9 K,moonoshawott,2020-07-20 19:14:01
867832,6432,「PKUSC2018」真实排名,Accepted,100,1235 ms,2.07 M,C++,1.4 K,moonoshawott,2020-07-20 12:59:48
865372,2546,「JSOI2018」潜入行动,Accepted,100,623 ms,155.37 M,C++,2.3 K,moonoshawott,2020-07-17 17:31:37
864247,6043,「雅礼集训 2017 Day7」蛐蛐国的修墙方案,Accepted,100,1780 ms,124 K,C++,1.1 K,moonoshawott,2020-07-16 19:41:28
864199,2587,「APIO2018」铁人两项,Accepted,100,1822 ms,15.37 M,C++,2.1 K,moonoshawott,2020-07-16 18:53:39
863763,6392,「THUPC2018」密码学第三次小作业 / Rsa,Accepted,100,208 ms,156 K,C++,1.2 K,moonoshawott,2020-07-16 13:52:43
862305,6436,「PKUSC2018」神仙的游戏,Accepted,100,4421 ms,13.12 M,C++,2.4 K,moonoshawott,2020-07-15 09:50:09
859530,2325,「清华集训 2017」小 Y 和恐怖的奴隶主,Accepted,100,2172 ms,7.37 M,C++,2.5 K,moonoshawott,2020-07-11 21:06:55
853743,2238,「CQOI2014」和谐矩阵,Accepted,100,38 ms,508 K,C++,1.2 K,moonoshawott,2020-07-04 21:16:13
853701,2211,「SCOI2014」方伯伯的玉米田,Accepted,100,4096 ms,72.50 M,C++,1.5 K,moonoshawott,2020-07-04 20:12:42
853575,2205,「HNOI2014」画框,Accepted,100,216 ms,252 K,C++,3.9 K,moonoshawott,2020-07-04 16:47:24
853562,2164,「POI2011 R2 Day2」气温 Temperature,Accepted,100,782 ms,2.62 M,C++,835 B,moonoshawott,2020-07-04 16:31:34
853547,2160,「POI2011 R2 Day0」保险箱 Strongbox,Accepted,100,2012 ms,2.25 M,C++,1.2 K,moonoshawott,2020-07-04 16:21:16
851835,2197,「SDOI2014」向量集,Accepted,100,1341 ms,76.41 M,C++,4.5 K,moonoshawott,2020-07-02 20:57:30
851772,2174,「FJOI2016」神秘数,Accepted,100,837 ms,35.98 M,C++,1.3 K,moonoshawott,2020-07-02 20:16:14
851445,2161,「POI2011 R2 Day1」差值 Difference,Accepted,100,1911 ms,5.00 M,C++,857 B,moonoshawott,2020-07-02 13:29:57
850302,2163,「POI2011 R2 Day2」旋转树木 Tree Rotations,Accepted,100,1087 ms,16.50 M,C++,1.6 K,moonoshawott,2020-06-30 20:25:30
850265,2162,「POI2011 R2 Day1」垃圾运输 Garbage,Accepted,100,262 ms,23.16 M,C++,2.3 K,moonoshawott,2020-06-30 19:43:57
849833,2173,「FJOI2016」建筑师,Accepted,100,538 ms,40.37 M,C++,797 B,moonoshawott,2020-06-30 13:15:15
849472,2110,「JLOI2015」管道连接,Accepted,100,3026 ms,4.25 M,C++,2.3 K,moonoshawott,2020-06-30 07:28:14
849297,2073,「JSOI2016」扭动的回文串,Accepted,100,360 ms,2.25 M,C++,1.8 K,moonoshawott,2020-06-29 19:45:00
848608,2240,「CQOI2014」数三角形,Accepted,100,285 ms,11.82 M,C++ 11,947 B,moonoshawott,2020-06-28 21:47:31
848570,2096,「CQOI2015」网络吞吐量,Accepted,100,78 ms,3.62 M,C++,2.9 K,moonoshawott,2020-06-28 21:11:54
848530,2045,「CQOI2016」密钥破解,Accepted,100,25 ms,124 K,C++ 11,1.2 K,moonoshawott,2020-06-28 20:23:40
839820,2116,「HNOI2015」开店,Accepted,100,11069 ms,185.25 M,C++ 11,6.8 K,moonoshawott,2020-06-17 21:36:02
839176,2267,「SDOI2017」龙与地下城,Accepted,100,3685 ms,220.46 M,C++,3.8 K,moonoshawott,2020-06-17 14:18:47
839032,2069,「SDOI2016」齿轮,Accepted,100,588 ms,508 K,C++,3.3 K,moonoshawott,2020-06-17 12:17:17
838338,3145,「APIO2019」桥梁,Accepted,100,38067 ms,6.38 M,C++,3.4 K,moonoshawott,2020-06-16 19:44:50
837917,6291,小 L 进阶的斐波那契数列游戏,Accepted,100,10 ms,124 K,C++,1.7 K,moonoshawott,2020-06-16 14:05:06
829743,6397,「THUPC2018」蛋糕 / Cake,Accepted,100,9 ms,72 K,C++,667 B,moonoshawott,2020-06-09 13:35:43
829249,3108,「TJOI2019」甲苯先生和大中锋的字符串,Accepted,100,2254 ms,27.87 M,C++,1.8 K,moonoshawott,2020-06-08 21:51:50
829089,2246,「NOI2014」动物园,Accepted,100,140 ms,8.75 M,C++,961 B,moonoshawott,2020-06-08 20:04:15
828774,2123,「HEOI2015」最短不公共子串,Accepted,100,233 ms,31.62 M,C++,3.0 K,moonoshawott,2020-06-08 15:50:27
824647,6252,「CodePlus 2017 11 月赛」大吉大利，晚上吃鸡！,Accepted,100,4049 ms,599.55 M,C++,2.9 K,moonoshawott,2020-06-04 13:54:48
824324,2555,「CTSC2018」混合果汁,Accepted,100,3869 ms,42.18 M,C++,1.9 K,moonoshawott,2020-06-03 20:58:21
824231,6198,谢特,Accepted,100,900 ms,33.75 M,C++,3.2 K,moonoshawott,2020-06-03 19:30:54
823361,2192,「SHOI2014」概率充电器,Accepted,100,1950 ms,51.62 M,C++,1.7 K,moonoshawott,2020-06-02 20:04:57
823147,2196,「SDOI2014」Lis,Accepted,100,858 ms,2.12 M,C++,2.9 K,moonoshawott,2020-06-02 18:58:01
822308,6165,一道水题,Accepted,100,74 ms,252 K,C++,11.0 K,moonoshawott,2020-06-01 21:27:30
822249,2429,「POI2010」智力测验 Intelligence Test,Accepted,100,787 ms,38.37 M,C++,1.2 K,moonoshawott,2020-06-01 20:48:12
819066,2534,「CQOI2018」异或序列,Accepted,100,548 ms,2.46 M,C++,1.0 K,moonoshawott,2020-05-28 21:53:54
819026,3083,「GXOI / GZOI2019」与或和,Accepted,100,2730 ms,5.00 M,C++,1.7 K,moonoshawott,2020-05-28 21:14:33
818442,2180,「BJOI2017」魔法咒语,Accepted,100,528 ms,764 K,C++,2.8 K,moonoshawott,2020-05-27 22:01:41
818295,2251,「ZJOI2017」树状数组,Accepted,100,4419 ms,245.16 M,C++,2.9 K,moonoshawott,2020-05-27 19:31:30
817780,2274,「JXOI2017」加法,Accepted,100,1666 ms,1.74 M,C++,1.2 K,moonoshawott,2020-05-26 21:27:08
817673,6485,LJJ 学二项式定理,Accepted,100,1838 ms,184 K,C++,944 B,moonoshawott,2020-05-26 19:03:25
817643,2179,「BJOI2017」树的难题,Accepted,100,2408 ms,30.12 M,C++,4.7 K,moonoshawott,2020-05-26 18:36:49
817285,2145,「SHOI2017」分手是祝愿,Accepted,100,102 ms,8.87 M,C++,1.1 K,moonoshawott,2020-05-25 22:04:15
817153,2491,「BJOI2018」求和,Accepted,100,904 ms,97.79 M,C++,1.8 K,moonoshawott,2020-05-25 20:01:42
817129,3089,「BJOI2019」奥术神杖,Accepted,100,3237 ms,23.12 M,C++,2.4 K,moonoshawott,2020-05-25 19:44:37
815890,530,「LibreOJ β Round #5」最小倍数,Accepted,100,3550 ms,208 K,C++,1.5 K,moonoshawott,2020-05-23 20:10:34
815847,3106,「TJOI2019」唱、跳、rap 和篮球,Accepted,100,877 ms,11.75 M,C++,2.7 K,moonoshawott,2020-05-23 19:22:56
815006,3107,「TJOI2019」大中锋的游乐场,Accepted,100,372 ms,6.74 M,C++,1.9 K,moonoshawott,2020-05-22 20:02:18
814967,2100,「TJOI2015」线性代数,Accepted,100,292 ms,21.12 M,C++,1.7 K,moonoshawott,2020-05-22 19:30:54
814936,2230,「BJOI2014」大融合,Accepted,100,391 ms,1.80 M,C++,2.1 K,moonoshawott,2020-05-22 18:54:49
814328,6013,「网络流 24 题」负载平衡,Accepted,100,11 ms,124 K,C++,1.8 K,moonoshawott,2020-05-21 21:28:35
814166,6012,「网络流 24 题」分配问题,Accepted,100,9 ms,124 K,C++,2.1 K,moonoshawott,2020-05-21 20:35:08
814017,6009,「网络流 24 题」软件补丁,Accepted,100,22 ms,4.25 M,C++,1.6 K,moonoshawott,2020-05-21 19:48:36
813836,3043,「ZJOI2019」线段树,Accepted,100,852 ms,6.12 M,C++,2.3 K,moonoshawott,2020-05-21 18:52:13
813556,2721,「NOI2018」屠龙勇士,Accepted,100,2542 ms,7.00 M,C++,2.4 K,moonoshawott,2020-05-21 13:43:12
813301,2472,「九省联考 2018」IIIDX,Accepted,100,1381 ms,17.69 M,C++,2.2 K,moonoshawott,2020-05-20 21:30:01
813018,2340,「WC2018」州区划分,Accepted,100,30084 ms,368.32 M,C++,2.5 K,moonoshawott,2020-05-20 13:11:53
812716,2276,「HAOI2017」新型城市化,Accepted,100,99 ms,4.12 M,C++,3.1 K,moonoshawott,2020-05-19 21:11:11
812428,152,子集卷积,Accepted,100,4690 ms,256.11 M,C++,1.7 K,moonoshawott,2020-05-19 18:31:00
811948,3247,「USACO 2020.1 Platinum」Non-Decreasing Subsequences,Accepted,100,2626 ms,8.06 M,C++,2.0 K,moonoshawott,2020-05-18 21:06:15
811885,2112,「HNOI2015」亚瑟王,Accepted,100,263 ms,888 K,C++,899 B,moonoshawott,2020-05-18 19:38:34
811797,2538,「PKUWC2018」Slay the Spire,Accepted,100,781 ms,47.50 M,C++,2.0 K,moonoshawott,2020-05-18 17:23:44
809393,2255,「SNOI2017」炸弹,Accepted,100,981 ms,146.62 M,C++,2.7 K,moonoshawott,2020-05-15 21:12:55
809254,2194,「SDOI2014」数数,Accepted,100,70 ms,14.00 M,C++,1.9 K,moonoshawott,2020-05-15 18:57:20
808991,2234,「JLOI2014」聪明的燕姿,Accepted,100,172 ms,308 K,C++,1.4 K,moonoshawott,2020-05-15 13:35:07
808518,2541,「PKUWC2018」猎人杀,Accepted,100,663 ms,2.75 M,C++,2.8 K,moonoshawott,2020-05-14 20:36:50
808102,2156,「POI2011 R1」棒棒糖 Lollipop,Accepted,100,1039 ms,19.24 M,C++,1.7 K,moonoshawott,2020-05-13 21:01:58
808042,2061,「HAOI2016」放棋子,Accepted,100,10 ms,192 K,C++,893 B,moonoshawott,2020-05-13 20:15:30
808004,3087,「GXOI / GZOI2019」旅行者,Accepted,100,5937 ms,9.50 M,C++,2.1 K,moonoshawott,2020-05-13 19:35:18
807992,2053,「HNOI2016」大数,Accepted,100,989 ms,3.63 M,C++,2.1 K,moonoshawott,2020-05-13 19:14:10
803884,3092,「BJOI2019」排兵布阵,Accepted,100,435 ms,8.25 M,C++,998 B,moonoshawott,2020-05-08 15:33:54
793506,10133,「一本通 4.4 例 4」次小生成树,Accepted,100,510 ms,31.87 M,C++,3.9 K,moonoshawott,2020-04-22 21:10:48
793151,10054,「一本通 2.3 练习 3」Secret Message 秘密信息,Accepted,100,325 ms,2.23 M,C++,1.1 K,moonoshawott,2020-04-22 11:16:25
382159,6568,「Project Euler 9」特殊勾股数,Accepted,100,414 ms,128 K,C++,1.4 K,moonoshawott,2019-03-23 11:00:26
375503,6034,「雅礼集训 2017 Day2」线段游戏,Accepted,100,1359 ms,4.40 M,C++,2.7 K,moonoshawott,2019-03-18 13:19:28
374761,6062,「2017 山东一轮集训 Day2」Pair,Accepted,100,902 ms,4.15 M,C++,1.7 K,moonoshawott,2019-03-17 17:59:29
374251,2248,「NOI2014」随机数生成器,Accepted,100,15924 ms,190.95 M,C++,2.0 K,moonoshawott,2019-03-17 11:16:09
374203,2670,「NOI2012」随机数生成器,Accepted,100,40 ms,124 K,C++,2.3 K,moonoshawott,2019-03-17 10:39:37
372613,6272,「BestCoder Round #88」Tree Cutting（改）,Accepted,100,3701 ms,125.31 M,C++,2.6 K,moonoshawott,2019-03-15 21:50:32
372266,10209,「一本通 6.4 例 1」青蛙的约会,Accepted,100,20 ms,252 K,C++,949 B,moonoshawott,2019-03-15 17:59:13
368612,2018,「AHOI / HNOI2017」单旋,Accepted,100,517 ms,6.01 M,C++,3.7 K,moonoshawott,2019-03-12 22:05:47
364588,161,乘法逆元 2,Accepted,100,294 ms,76.39 M,C++,1.3 K,moonoshawott,2019-03-09 15:00:16
364557,2142,「SHOI2017」相逢是问候,Accepted,100,7348 ms,11.59 M,C++,3.6 K,moonoshawott,2019-03-09 14:33:22
359511,2441,「SCOI2011」棘手的操作,Accepted,100,1485 ms,82.37 M,C++,4.0 K,moonoshawott,2019-03-04 22:42:38
355588,2056,「TJOI / HEOI2016」序列,Accepted,100,1160 ms,2.37 M,C++,1.9 K,moonoshawott,2019-03-01 20:54:29
353326,6241,性能优化 I,Accepted,100,172 ms,124 K,C++,496 B,moonoshawott,2019-02-27 22:02:20
352596,6010,「网络流 24 题」数字梯形,Accepted,100,24 ms,380 K,C++,2.9 K,moonoshawott,2019-02-27 13:24:51
352553,6003,「网络流 24 题」魔术球,Accepted,100,95 ms,376 K,C++,1.1 K,moonoshawott,2019-02-27 12:58:44
352277,6008,「网络流 24 题」餐巾计划,Accepted,100,715 ms,1.37 M,C++,2.3 K,moonoshawott,2019-02-26 22:11:19
352269,6007,「网络流 24 题」方格取数,Accepted,100,24 ms,124 K,C++,2.4 K,moonoshawott,2019-02-26 22:07:02
352235,6005,「网络流 24 题」最长递增子序列,Accepted,100,25 ms,124 K,C++,2.5 K,moonoshawott,2019-02-26 21:52:59
350943,6006,「网络流 24 题」试题库,Accepted,100,33 ms,1020 K,C++,1.9 K,moonoshawott,2019-02-25 22:36:36
350720,6004,「网络流 24 题」圆桌聚餐,Accepted,100,47 ms,1000 K,C++,2.3 K,moonoshawott,2019-02-25 19:33:01
350324,6491,「XXOI 2018」简单的最大公约数,Accepted,100,8236 ms,393.12 M,C++,2.1 K,moonoshawott,2019-02-25 13:23:05
349130,6001,「网络流 24 题」太空飞行计划,Accepted,100,22 ms,124 K,C++,2.8 K,moonoshawott,2019-02-24 10:33:43
